Propublica Number,Club Name,Tax Year,Data Source,PDF URL,Total Revenue,Total Functional Expenses,Net Income,Total Assets,Total Liabilities,Net Assets,Found By,Verified By
42426396,HARVARD CRIMSON INC,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_11_EO%2F04-2426396_990_200901.pdf,NA,NA,NA,NA,NA,NA,,
42426396,HARVARD CRIMSON INC,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_09_EO%2F04-2426396_990_200801.pdf,NA,NA,NA,NA,NA,NA,,
42426396,HARVARD CRIMSON INC,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_07_EO%2F04-2426396_990_200701.pdf,NA,NA,NA,NA,NA,NA,,
42426396,HARVARD CRIMSON INC,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_08_EO%2F04-2426396_990_200601.pdf,NA,NA,NA,NA,NA,NA,,
42426396,HARVARD CRIMSON INC,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2005_07_EO%2F04-2426396_990_200501.pdf,NA,NA,NA,NA,NA,NA,,
42426396,HARVARD CRIMSON INC,2004,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2004_11_EO%2F04-2426396_990_200401.pdf,NA,NA,NA,NA,NA,NA,,
42426396,HARVARD CRIMSON INC,2003,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2003_07_EO%2F04-2426396_990_200301.pdf,NA,NA,NA,NA,NA,NA,,
42426396,HARVARD CRIMSON INC,2002,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2002_06_EO%2F04-2426396_990_200201.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2015,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2016_12_EO%2F22-2780253_990_201512.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2010,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2011_06_EO%2F22-2780253_990_201012.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_07_EO%2F22-2780253_990_200912.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_09_EO%2F22-2780253_990_200812.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_07_EO%2F22-2780253_990_200712.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_07_EO%2F22-2780253_990_200612.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_08_EO%2F22-2780253_990_200512.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2004,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2005_07_EO%2F22-2780253_990_200412.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2003,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2004_06_EO%2F22-2780253_990_200312.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2002,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2003_06_EO%2F22-2780253_990_200212.pdf,NA,NA,NA,NA,NA,NA,,
222780253,THE HARVARD CRIMSON TRUST II,2001,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2002_07_EO%2F22-2780253_990_200112.pdf,NA,NA,NA,NA,NA,NA,,
41696700,OWL CLUB,2015,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2016_12_EO%2F04-1696700_990O_201512.pdf,NA,NA,NA,NA,NA,NA,,
41696700,OWL CLUB,2014,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2015_12_EO%2F04-1696700_990O_201412.pdf,NA,NA,NA,NA,NA,NA,,
41696700,OWL CLUB,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F04-1696700_990O_200912.pdf,NA,NA,NA,NA,NA,NA,,
41696700,OWL CLUB,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_12_EO%2F04-1696700_990O_200812.pdf,NA,NA,NA,NA,NA,NA,,
41696700,OWL CLUB,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_12_EO%2F04-1696700_990O_200712.pdf,NA,NA,NA,NA,NA,NA,,
41696700,OWL CLUB,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_12_EO%2F04-1696700_990O_200612.pdf,NA,NA,NA,NA,NA,NA,,
41696700,OWL CLUB,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_03_EO%2F04-1696700_990O_200612.pdf,NA,NA,NA,NA,NA,NA,,
41696700,OWL CLUB,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_08_EO%2F04-1696700_990O_200512.pdf,NA,NA,NA,NA,NA,NA,,
204744523,OWL CLUB CAPITAL MANAGEMENT INC,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F20-4744523_990O_200912.pdf,NA,NA,NA,NA,NA,NA,,
204744523,OWL CLUB CAPITAL MANAGEMENT INC,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_07_EO%2F20-4744523_990O_200812.pdf,NA,NA,NA,NA,NA,NA,,
